class,generator_edit_method,video_id,split,duration_sec,width,height,fps,codec,bitrate,has_audio,sha256
real,unknown,real-0,train,2.25,202,360,24.0,h264,802112,True,b884864fbb3b9fef28d22265e1d5685856ca7fa59b69c0587b6aa0dcf1eaef6e
real,unknown,real-1,train,3.84,1280,720,25.0,h264,3637027,True,43d01a7b454b7284792bc7ef3aa30d4e5bf0f0ebf18fc148f1921091044e8c86
real,unknown,real-10,train,2.836,568,320,29.97,h264,492829,True,e8e86208418981821d1c5a1979b9017b7c8e8402aaf0f23cbbc8c82d855dbb39
real,unknown,real-100,valid,3.9,1280,720,30.0,h264,2275958,True,7834bb93f50182744ae06ae0593548ac7675fe93e886af13478d69ceaa684d3f
real,unknown,real-1000,train,9.943,1280,720,29.97,h264,2664506,True,872f1efdb5754157ae870e30e33e3a9a7f99837a9a92c20321a2370260301e15
real,unknown,real-1001,train,4.066,640,360,15.0,h264,747579,True,a990e20d220f9e528497c04747d2365aac511080c663528710a123aacfb5d012
real,unknown,real-1002,train,4.08,640,360,25.0,h264,445668,True,a850d44014c487f32e623204b58b604202ac937526f15e3da295f18f8972946f
real,unknown,real-1003,train,3.133,1280,720,30.0,h264,5283798,True,b31dd9e841fd7032edd4204ccce250869fe3d7dd9eee9a3388a23b9e3764d58a
real,unknown,real-1004,train,2.753,1280,720,23.974,h264,2281807,True,247d329a09ad03e819fd18badc7127eb97cde31361525ec41041ef238a447303
real,unknown,real-1005,train,6.033,1280,720,30.0,h264,2960599,True,068868ee32b33099b1a39c312bc2148feda1ea555d8f66798ff5b825d0c19faf
real,unknown,real-1006,train,9.943,1280,720,29.97,h264,3272724,True,c6aab8dc72ceb48ce68376d6958fac0af987730111cc410657fb3eebdc1e488a
real,unknown,real-1007,test,9.042,1280,720,29.97,h264,3439198,True,ec6af95430b6105d66ad77d872a435fc68088f84b6488d7b4bc127747f529ae0
real,unknown,real-1008,test,4.1,1280,720,30.0,h264,6161722,True,225667e9edf1e5859da888a6b8b7dc751f7f4730454db661ea7b4ef8c0fc9521
real,unknown,real-1009,valid,3.033,1280,720,30.0,h264,1722013,True,cf26e95ba3d582e65a0c5e3fdb3dccefa5a9f748c751dacab040e355b7e8fc4e
real,unknown,real-101,valid,9.933,1280,720,30.0,h264,3378582,True,99bd57067ded184074ec3745f9babe67076c3449eac21198f64c5d7baee074a0
real,unknown,real-1010,train,2.24,1280,720,25.0,h264,1644614,True,9690be0fd3b7d6b5625b9ece25ae4f47e66bdfac581bd7dbdd497c134ba38693
real,unknown,real-1011,train,9.916,480,360,24.0,h264,1000654,True,29b7107f4b3cabaf1fb3550e3a270c473fd36aba9c631987972d9f68597b80bb
real,unknown,real-1012,train,2.068,480,360,29.97,h264,2585195,True,61396cd9de10bb139b66367bbf7c3d8d237972ff053d18bbb9154e54cabca048
real,unknown,real-1013,train,4.104,352,264,29.97,h264,645625,True,abd4d68a3ef8fc2a94c8cb581b6e31f68a891eff237979a080f06d267e840ebd
real,unknown,real-1014,train,4.872,1280,720,29.97,h264,1879979,True,1eac85dd6a3e68462b451c771eee9d959ef9d1cb4771493d241019449d7f3977
real,unknown,real-1015,valid,2.836,1280,720,29.97,h264,1580146,True,e2a1869a2aa119714517b80798718b166032c5d7600661e6bdb8eea0275a0430
real,unknown,real-1016,train,3.066,1280,720,30.0,h264,2403705,True,07b0a2a3297cf9981f718260c41713028ee11174e51cb86b4c13b9c8e7720520
real,unknown,real-1017,test,3.403,640,360,29.97,h264,1384467,True,97aeac0a9eb1db1258cf1fc55332b37cafc30b321262ffc4132cc9cb68860d7b
real,unknown,real-1018,train,4.3,1280,720,30.0,h264,1656169,True,544cd4113e47a369db942ef3adf3b4cf9253acec7d334cae34653e6bb6bf3c80
real,unknown,real-1019,valid,6.36,1280,720,25.0,h264,2777772,True,e74bc2083064b240526dff45df408feef88fd5f482105fec81993c47a22a9402
real,unknown,real-102,train,5.206,640,352,29.583,h264,1018664,True,181c4e7adc2b51f01a558a44528fa40fea43977e76acfaff772d00e0364d266a
real,unknown,real-1020,train,4.004,1280,720,29.97,h264,3168857,True,bd232371cd555e6e1fded56aadd35760f11ad2ead5dbec4675f2b966732e8cff
real,unknown,real-1021,train,4.1,408,720,30.0,h264,1857079,True,0230246806e571a325afaffca3d360f25f331b37077f369f139e20c7d4191f29
real,unknown,real-1022,train,6.173,1280,720,23.976,h264,2661271,True,6fc164d53b04a912625a92008dfaf0a663444efae0b239d291f99bd804e2859a
real,unknown,real-1023,train,4.073,636,360,29.95,h264,1290369,True,400ebade2d7cdc4e481118d4b9713224b18a3da4e66c21e407a0ddfa8c00e536
real,unknown,real-1024,train,2.669,480,360,29.97,h264,788810,True,49157adc9e2dde5cd21a46704e1b4bd03ff0e345b0c2e4b1d0e0caec2c84c2aa
real,unknown,real-1025,train,2.336,1280,720,29.97,h264,3478283,True,509062ddc5564e750ee9d712e8e31d268e7eb0a576662bfef071c4e254d29abf
real,unknown,real-1026,train,2.533,1280,720,30.0,h264,2363937,True,bc684dd0e88c13a376a5f4bd60c12ae18a2f3c27d48c95868ce61b168a6256b9
real,unknown,real-1027,train,3.916,1280,720,24.0,h264,1734765,True,5f88c55581d05ffe85383550e22d4218c9cb6209a81308593e16f27eab395a52
real,unknown,real-1028,train,9.933,1280,720,30.0,h264,2054429,True,3370ff9ee82ab1d14687856e469eede1f75ed5a71addc6754872a11261950d67
real,unknown,real-1029,train,4.438,1280,720,29.97,h264,2031026,True,94dc82298ce7eaee9bffcb97bc3d994bf8bf30424fc9beac82a454b1ffe9eb4b
real,unknown,real-103,train,4.3,568,320,30.0,h264,774917,True,7a67a20a105aa6dcae14f08b3eea393f0e4e51dac6e76beb1cd51080ce47c1b2
real,unknown,real-1030,train,2.21,1280,720,23.976,h264,3326045,True,398c1048bc21c4c70a6c955bebb28424f77bb1466462b6a267ac96827d2c660a
real,unknown,real-1031,train,9.947,1280,720,28.25,h264,4117818,True,39293b0055c808761cc56315990c1cf42b1dbf67f96b882233c20ad573c621fa
real,unknown,real-1032,train,2.4,972,720,25.0,h264,3777863,True,12760a93d8425b512e04be7ef7710082f357a3166107ed1a7ab218b0aa58a522
real,unknown,real-1033,train,2.535,1280,720,29.97,h264,2650994,True,5c65d1155c103e38225a2902694dd07666552ba7fad52b0636238ba40fc62016
real,unknown,real-1034,train,2.767,1280,720,30.0,h264,2020744,True,6a5fdf6eb1da7b85be62365d0bc2d7dfb183c46f362c85077daf26b360783379
real,unknown,real-1035,train,9.933,1280,720,30.0,h264,2717431,True,5862f84beb9d80d2688a0766e6e52f97b295a3a4063e7de4bed9cb5ecfe4d8f3
real,unknown,real-1036,train,4.829,480,360,14.91,h264,326467,True,fb5a6da3f611d67b7e5db97024e08eb9f6a14aa4f1794338823fd9c53cfc40f3
real,unknown,real-1037,train,2.769,480,360,29.97,h264,671074,True,84c462d2a3d52887aeb1988d40329998d52cb35cb37e941fd9a3b859cc0e4f83
real,unknown,real-1038,train,2.236,1280,720,29.97,h264,2007573,True,6202283b668365beefc2c156bb81761ae718cc818281b2fc3e51164304136503
real,unknown,real-1039,train,9.909,1280,720,29.97,h264,2179137,True,ed1c206519bd4904c86080bf0a8b6485be80ce1acce35c0a0ee7b4b870a09a3f
real,unknown,real-104,train,2.702,480,360,29.97,h264,1314809,True,8fc7f384475faa6b879a4f002c49ece24adf5b12cdf104eb81096dc97dcaa351
real,unknown,real-1040,train,2.569,540,360,29.97,h264,958499,True,830a67bef04427cb9f9a41a42bcc078a600f8a45433eff1590eee81374593c2f
real,unknown,real-1041,test,2.416,568,320,24.0,h264,382884,True,b9ea0ce18457bdf4035d5759ba976c3a374c5a479ee51b5f361c5e9fd3d57fc3
real,unknown,real-1042,train,3.27,1280,720,29.97,h264,1857249,True,c6de50344c8e4e2017c2086b88d0a98d13764543edacdfbfe2c3f784f0a24d9a
real,unknown,real-1043,valid,4.801,480,360,29.991,h264,841665,True,a3aea51b3a2a7ee0e5915c5b6a075f4ce7c752fc8109f46ce7bd39a2f96218c5
real,unknown,real-1044,train,4.862,1280,720,29.0,h264,3282008,True,8210138f5ca7e2275b7f830eb1d5e71fc2b49b15a8aa81e0894a516453b7aa75
real,unknown,real-1045,train,4.471,960,720,29.97,h264,1698989,True,6dd49c858236ba4622978617447bb8d24f89cb81508c806eb73fdc1117ed86aa
real,unknown,real-1046,train,3.42,1280,720,23.976,h264,2352376,True,63a425bd3ebbdadfe41982fdaf93c33c30153cb04c96c50c9de257e28ecbd296
real,unknown,real-1047,test,2.633,1280,720,30.0,h264,1914239,True,03752890c47f1c90cbb3cc83107d9532b2cd346eff6cad27f7d48ec556a93064
real,unknown,real-1048,train,6.74,1280,720,29.97,h264,2675196,True,88e2e2da09bb470cfb9a065232c35778a3e80672bc1228d72ea83fda4ab44e58
real,unknown,real-1049,train,2.5,426,320,30.0,h264,617139,True,9fea841b544604a6b104a728f2b0e442bb93a1a2801a5e4570e34b3ae13284d9
real,unknown,real-105,train,3.169,1280,720,29.97,h264,2546900,True,3a286b04c90470a0732a9c924288a01ff762323ec36cfc78e612ac7527dbe347
real,unknown,real-1050,train,2.967,1280,720,30.0,h264,3086798,True,2af0be8456a2c06c16ad8d228560c41d5b4ab36f073ef1e0902c5c13b211f21a
real,unknown,real-1051,test,3.879,1280,720,23.976,h264,2158217,True,81ddc5cc76f9272741577816d55c27aebef4d2d855cac069bd3d5c77f8531a67
real,unknown,real-1052,train,2.736,1280,720,29.97,h264,2182274,True,908e3d874ba4a40dca91fe359945d73797d834565924e4a5adc65278f4ba247e
real,unknown,real-1053,train,2.584,480,320,23.993,h264,510079,True,4dd518757239f9513cbe236428745a906bb45a43a439e3c8717659035ced4d27
real,unknown,real-1054,train,5.92,450,360,25.0,h264,439750,True,40a09c4fd2ba9aa86e6956137b30ef846cc06e32eacdba9cf9510d7fa867ae93
real,unknown,real-1055,train,3.6,1280,720,25.0,h264,1257708,True,04acb0d12a3cd8f98ff1cc0998321f9a8c9c3fb554b9757df496ef10a155c0fe
real,unknown,real-1056,train,9.933,480,360,30.0,h264,907268,True,96e87af4023e97d314790c2ce588ea7dcc5dbdaab5336d6fc5aeb64e7465bf6e
real,unknown,real-1057,train,3.208,1280,720,24.0,h264,1917169,True,8854e6f86df1ea9f2e320ec630242f5c907a25f48be77737441aedb5128b6a65
real,unknown,real-1058,train,2.252,406,720,23.974,h264,1187636,True,c19bb2a29ad033e57caf50d0fd4c3d16eba35fdfb2d5280ddc6263bc0031d6d3
real,unknown,real-1059,train,3.461,1280,720,23.976,h264,835189,True,9901b99f9ec8a05a83b18ba15d46411e04df8b0ffbe6feab2f8c23fb020791fe
real,unknown,real-106,train,6.3,1280,720,30.0,h264,3613857,True,3454481184dac02c9ef0fdba494b545faa6a4ca1c12a6d2d6af98c4afb63371a
real,unknown,real-1060,train,6.28,1280,720,25.0,h264,3979815,True,021b98b34753e25e45b0a396b80d52ad413af0daa7178460c0d3a75e8d1be3e4
real,unknown,real-1061,valid,4.296,1280,720,23.976,h264,1343260,True,46793b6865239eb59b170a6a37b3753356d95d7d99a6dda91f3d1281c1180bfd
